2024-03-11 22:40:32 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-03-11 22:40:32 0 [Note] InnoDB: Number of pools: 1
2024-03-11 22:40:32 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-03-11 22:40:32 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-03-11 22:40:32 0 [Note] InnoDB: Completed initialization of buffer pool
2024-03-11 22:40:32 0 [Note] InnoDB: Setting log file C:/xampp/mysql/data/ib_logfile101 size to 5242880 bytes
2024-03-11 22:40:32 0 [Note] InnoDB: Renaming log file C:/xampp/mysql/data/ib_logfile101 to C:/xampp/mysql/data/ib_logfile0
2024-03-11 22:40:32 0 [Note] InnoDB: New log file created, LSN=139827
2024-03-11 22:40:32 0 [Note] InnoDB: 128 rollback segments are active.
2024-03-11 22:40:32 0 [Note] InnoDB: Creating shared tablespace for temporary tables
2024-03-11 22:40:32 0 [Note] InnoDB: Setting file 'C:/xampp/mysql/data/ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
2024-03-11 22:40:32 0 [Note] InnoDB: File 'C:/xampp/mysql/data/ibtmp1' size is now 12 MB.
2024-03-11 22:40:32 0 [Note] InnoDB: 10.6.7 started; log sequence number 0; transaction id 218
2024-03-11 22:40:32 0 [Note] Plugin 'FEEDBACK' is disabled.
2024-03-11 22:40:32 0 [Note] InnoDB: Loading buffer pool(s) from C:\xampp\mysql\data/ib_buffer_pool
2024-03-11 22:40:32 0 [Note] InnoDB: Cannot open 'C:\xampp\mysql\data/ib_buffer_pool' for reading: No such file or directory
2024-03-11 22:40:32 0 [Note] Zerofilling moved table:  '.\mysql\plugin'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\servers'
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '::'.
2024-03-11 22:40:33 0 [Note] Server socket created on IP: '0.0.0.0'.
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\db'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\proxies_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\roles_mapping'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\global_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_leap_second'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_name'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition_type'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\time_zone_transition'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\tables_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\columns_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\procs_priv'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\func'
2024-03-11 22:40:33 0 [Note] Zerofilling moved table:  '.\mysql\event'
2024-03-11 22:40:33 0 [ERROR] Incorrect definition of table mysql.event: expected column 'definer' at position 3 to have type varchar(, found type char(141).
2024-03-11 22:40:33 0 [ERROR] mysqld.exe: Event Scheduler: An error occurred when initializing system tables. Disabling the Event Scheduler.
2024-03-11 22:40:33 0 [Note] c:\xampp\mysql\bin\mysqld.exe: ready for connections.
Version: '10.6.7-MariaDB'  socket: ''  port: 3306  mariadb.org binary distribution
2024-03-11 22:46:33 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2024-03-11 22:46:33 0 [Note] InnoDB: Number of pools: 1
2024-03-11 22:46:33 0 [Note] InnoDB: Using crc32 + pclmulqdq instructions
2024-03-11 22:46:33 0 [Note] InnoDB: Initializing buffer pool, total size = 16777216, chunk size = 16777216
2024-03-11 22:46:33 0 [Note] InnoDB: Completed initialization of buffer pool
2024-03-11 22:46:33 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=140300,140300
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=231] with future log sequence number 303945
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 303945
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 303901
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 303901
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 303857
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 303857
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 303813
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 303813
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 303769
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 303769
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=226] with future log sequence number 303725
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 303725
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 303681
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 303681
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 303637
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 303637
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 303577
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 303577
2024-03-11 22:46:33 0 [Note] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 303533
